mixture_collection	indiv	1. Alaska	2. Central	3. Southwest	4. East	5. WesternBoreal	State	Town	Stage	longitude	latitude
mixture	13083	0.98131101141422	0.00000000000000000000000000000000338280044266262	0.000000428090387046485	0.00000000000000000000000000000000000000000000000000000000000000000000000000434455375379109	0.0186885604953931	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13084	0.810421393993395	0.0000000000000000000000000207082261453893	0.0382914656406767	0.000000000000000000000000000000000000000000000000000000000000000208412534911544	0.151287140365929	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13085	0.999792300640534	0.000000000000000000000000289406741833724	0.0000000073787027756806	0.000000000000000000000000000000000000000000000000000000000000184254302092768	0.000207691980763886	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13086	0.000000000671096054066885	0.999999999328836	0.000000000000000399200066461663	0.0000000000000668850502532927	0.0000000000000000171100046759289	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13087	0.00000000000000000000000032332122323213	0.999995077932825	0.00000000000000000000000000139539702622473	0.00000492206717672188	0.000000000000000000000000000000146204067077269	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13088	0.987856782476766	0.0000000474680099897169	0.000475672553117867	0.00000000000000000000000000000000013752183039888	0.011667497502107	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13089	0.320095859402987	0.0231346688806497	0.530974382924905	0.00000000000000000000000000994298494733997	0.125795088791459	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13091	0.0133446891361026	0.0000000000000000000000000000000395376262638034	0.000114201564507581	0.000000000000000000000000000000000000000000000000000000000000000000000000209355783917619	0.98654110929939	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13092	0.00000000000000269237516494913	0.999999999990429	0.000000000000000000000000359829762863623	0.0000000000095685674090034	0.0000000000000000000000000323752259385551	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13093	0.0176175499068997	0.00000108336810396302	0.947694961861978	0.000000000000000000000000000000023503793202786	0.0346864048630165	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13094	0.0131086850760188	0.00000000000000513057226415922	0.000742652852485348	0.00000000000000000000000000000000000000000000433767272441497	0.98614866207149	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13095	0.999999999643545	0.00000000000000012047136131944	0.00000000000000310363879010633	0.000000000000000000000000000000000000000000271220689620624	0.000000000356451683940159	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13096	0.000361110452933521	0.000000000000000000150084292492025	0.0432240078283173	0.00000000000000000000000000000000000000000000000000991650692625208	0.95641488171875	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13097	0.999984004885747	0.00000000000000000000000376853255050771	0.0000000000109811503494028	0.000000000000000000000000000000000000000000000000000000000199686160273403	0.0000159951032720059	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13098	0.999992393680919	0.0000000000000000000000000130584648536996	0.00000000000275391338632314	0.00000000000000000000000000000000000000000000000000000000000000266277947204335	0.00000760631632709291	Veracruz	Salinas	Wintering	-95.17	18.5
mixture	13100	0.000365378995995783	0.999236752906398	0.000397582403792656	0.000000000000000000122184821348024	0.000000285693813955308	Veracruz	Salinas	Wintering	-95.17	18.5
